TimeStep	Mean Squared Displacement
3.810000	38710.027836
3.820000	38908.860502
3.830000	39089.402141
3.840000	39251.702196
3.850000	39396.012561
3.860000	39522.784789
3.870000	39632.664740
3.880000	39726.484786
3.890000	39805.253703
3.900000	39870.144397
3.910000	39922.479567
3.920000	39963.715322
3.930000	39995.422322
3.940000	40019.262739
3.950000	40036.956071
3.960000	40050.203156
3.970000	40060.563340
3.980000	40069.404653
3.990000	40077.943906
4.000000	40087.378494
4.010000	40099.087118
4.020000	40114.585800
4.030000	40135.531290
4.040000	40163.619994
4.050000	40200.520425
4.060000	40247.837709
4.070000	40307.091116
4.080000	40379.696940
4.090000	40466.954365
4.100000	40570.033362
4.110000	40689.964179
4.120000	40827.628218
4.130000	40983.750181
4.140000	41158.891411
4.150000	41353.444409
4.160000	41567.628515
4.170000	41801.486757
4.180000	42054.883918
4.190000	42327.505843
4.200000	42618.860064
4.210000	42928.277821
4.220000	43254.917552
4.230000	43597.769994
4.240000	43955.665047
4.250000	44327.280701
4.260000	44711.154671
4.270000	45105.700566
4.280000	45509.235136
4.290000	45920.050197
4.300000	46336.502275
4.310000	46757.080214
4.320000	47180.442951
4.330000	47605.248794
4.340000	48030.063144
4.350000	48453.247292
4.360000	48872.969484
4.370000	49287.286020
4.380000	49694.229334
4.390000	50091.868285
4.400000	50478.342207
4.410000	50851.888292
4.420000	51210.865663
4.430000	51553.777088
4.440000	51879.288566
4.450000	52186.246739
4.460000	52473.694005
4.470000	52740.881167
4.480000	52987.277434
4.490000	53212.577668
4.500000	53416.706753
4.510000	53599.821048
4.520000	53762.306910
4.530000	53904.776328
4.540000	54028.059750
4.550000	54133.196217
4.560000	54221.420946
4.570000	54294.150476
4.580000	54352.965399
4.590000	54399.590397
4.600000	54435.870341
4.610000	54463.737935
4.620000	54485.155108
4.630000	54501.994227
4.640000	54515.976935
4.650000	54528.649035
4.660000	54541.427138
4.670000	54555.802569
4.680000	54573.453843
4.690000	54596.173119
4.700000	54625.877885
4.710000	54664.505785
4.720000	54713.949268
4.730000	54776.018612
4.740000	54852.417623
4.750000	54944.724600
4.760000	55054.376451
4.770000	55182.655050
4.780000	55330.675440
4.790000	55499.375668
4.800000	55689.508166
4.810000	55901.632594
4.820000	56136.110152
4.830000	56393.099349
4.840000	56672.553248
4.850000	56974.218225
4.860000	57297.634292
4.870000	57642.137057
4.880000	58006.861387
4.890000	58390.746890
4.900000	58792.545365
4.910000	59210.830473
4.920000	59644.010166
4.930000	60090.343256
4.940000	60547.964474
4.950000	61014.942877
4.960000	61489.363435
4.970000	61969.411362
4.980000	62453.400800
4.990000	62939.769455
5.000000	63426.889469
5.010000	63913.036741
5.020000	64396.268571
5.030000	64874.473692
5.040000	65345.455043
5.050000	65807.011092
5.060000	66256.998579
5.070000	66693.368283
5.080000	67114.194289
5.090000	67517.699785
5.100000	67902.280191
5.110000	68266.523836
5.120000	68609.230094
5.130000	68929.424879
5.140000	69226.373301
5.150000	69499.589353
5.160000	69748.842491
5.170000	69974.161029
5.180000	70175.832319
5.190000	70354.399716
5.200000	70510.656391
5.210000	70645.636090
5.220000	70760.600960
5.230000	70857.026555
5.240000	70936.584059
5.250000	71001.119545
5.260000	71052.629322
5.270000	71093.228300
5.280000	71125.100375
5.290000	71150.397136
5.300000	71171.161854
5.310000	71189.268723
5.320000	71206.441940
5.330000	71224.376154
5.340000	71244.857070
5.350000	71269.839875
5.360000	71301.396198
5.370000	71341.689924
5.380000	71392.883696
5.390000	71457.075143
5.400000	71536.258798
5.410000	71632.300320
5.420000	71746.915881
5.430000	71881.654810
5.440000	72037.884690
5.450000	72216.778530
5.460000	72419.303836
5.470000	72646.213467
5.480000	72898.038262
5.490000	73175.081398
5.500000	73477.414513
5.510000	73804.875596
5.520000	74157.068715
5.530000	74533.365606
5.540000	74932.909219
5.550000	75354.619311
5.560000	75797.200211
5.570000	76259.150992
5.580000	76738.778509
5.590000	77234.214411
5.600000	77743.439489
5.610000	78264.333174
5.620000	78794.744215
5.630000	79332.567675
5.640000	79875.814679
5.650000	80422.631810
5.660000	80971.171055
5.670000	81519.532501
5.680000	82065.684759
5.690000	82607.386386
5.700000	83142.259850
5.710000	83667.871047
5.720000	84181.803533
5.730000	84681.723571
5.740000	85165.417239
5.750000	85630.821220
5.760000	86076.049972
5.770000	86499.419947
5.780000	86899.471009
5.790000	87274.984968
5.800000	87625.001116
5.810000	87948.828565
5.820000	88246.055284
5.830000	88516.553696
5.840000	88760.482794
5.850000	88978.286736
5.860000	89170.689970
5.870000	89338.688952
5.880000	89483.540553
5.890000	89606.747281
5.900000	89710.039352
5.910000	89795.353477
5.920000	89864.807652
5.930000	89920.669693
5.940000	89965.312824
5.950000	90001.129968
5.960000	90030.440967
5.970000	90055.444973
5.980000	90078.183343
5.990000	90100.597093
6.000000	90124.682172
6.010000	90152.528544
6.020000	90186.358863
6.030000	90228.513874
6.040000	90281.387579
6.050000	90347.349757
6.060000	90428.682680
6.070000	90527.542415
6.080000	90645.931914
6.090000	90785.679122
6.100000	90948.418455
6.110000	91135.574922
6.120000	91348.350551
6.130000	91587.712964
6.140000	91854.386011
6.150000	92148.842445
6.160000	92471.298622
6.170000	92821.711256
6.180000	93199.776249
6.190000	93604.929660
6.200000	94036.350861
6.210000	94492.967974
6.220000	94973.465712
6.230000	95476.295826
6.240000	95999.690559
6.250000	96541.680037
6.260000	97100.116285
6.270000	97672.713943
6.280000	98257.124136
6.290000	98850.990630
6.300000	99452.044606
6.310000	100058.123584
6.320000	100667.141789
6.330000	101276.953248
6.340000	101885.374973
6.350000	102490.066890
6.360000	103088.502383
6.370000	103678.049613
6.380000	104256.058961
6.390000	104819.920294
6.400000	105367.133295
6.410000	105895.345519
6.420000	106402.384357
6.430000	106886.285218
6.440000	107345.316479
6.450000	107778.001279
6.460000	108183.136098
6.470000	108559.805952
6.480000	108907.396072
6.490000	109225.599918
6.500000	109514.423461
6.510000	109774.185662
6.520000	110005.515176
6.530000	110209.343301
6.540000	110386.893289
6.550000	110539.666075
6.560000	110669.422507
6.570000	110778.161956
6.580000	110868.096741
6.590000	110941.620618
6.600000	111001.266736
6.610000	111049.631620
6.620000	111089.282837
6.630000	111122.704951
6.640000	111152.259804
6.650000	111180.184212
6.660000	111208.708696
6.670000	111240.105237
6.680000	111276.760138
6.690000	111321.159387
6.700000	111375.897851
6.710000	111443.581380
6.720000	111526.766432
6.730000	111627.896848
6.740000	111749.264956
6.750000	111892.983828
6.760000	112060.964439
6.770000	112254.896287
6.780000	112476.230840
6.790000	112726.167526
6.800000	113005.642116
6.810000	113315.317442
6.820000	113655.576429
6.830000	114026.517452
6.840000	114427.952033
6.850000	114859.404927
6.860000	115320.116661
6.870000	115809.048581
6.880000	116324.890546
6.890000	116866.071441
6.900000	117430.772868
6.910000	118016.946835
6.920000	118622.339621
6.930000	119244.528673
6.940000	119880.995762
6.950000	120529.160381
6.960000	121186.508983
6.970000	121850.600229
6.980000	122519.070062
6.990000	123189.527888
7.000000	123859.560829
7.010000	124526.679677
7.020000	125188.236315
7.030000	125841.444904
7.040000	126483.439363
7.050000	127111.367288
7.060000	127722.448847
7.070000	128314.043849
7.080000	128883.690369
7.090000	129429.137527
7.100000	129948.374310
7.110000	130439.654849
7.120000	130901.520219
7.130000	131332.816647
7.140000	131732.709989
7.150000	132100.696337
7.160000	132436.608646
7.170000	132740.619300
7.180000	133013.238603
7.190000	133255.309216
7.200000	133467.996589
7.210000	133652.775481
7.220000	133811.412601
7.230000	133945.945293
7.240000	134058.655778
7.250000	134152.039516
7.260000	134228.764348
7.270000	134291.605917
7.280000	134343.347989
7.290000	134386.741812
7.300000	134424.426863
7.310000	134458.939173
7.320000	134492.759523
7.330000	134528.418417
7.340000	134568.482876
7.350000	134615.616429
7.360000	134672.557577
7.370000	134742.132542
7.380000	134827.137833
7.390000	134930.293157
7.400000	135054.177926
7.410000	135201.192506
7.420000	135373.529956
7.430000	135573.152563
7.440000	135801.771927
7.450000	136060.832074
7.460000	136351.495324
7.470000	136674.630823
7.480000	137030.805680
7.490000	137420.278695
7.500000	137842.996708
7.510000	138298.593597
7.520000	138786.391972
7.530000	139305.407639
7.540000	139854.356951
7.550000	140431.667198
7.560000	141035.490390
7.570000	141663.721134
7.580000	142314.020483
7.590000	142983.851247
7.600000	143670.548079
7.610000	144371.341934
7.620000	145083.487945
7.630000	145804.283736
7.640000	146531.078459
7.650000	147261.259083
7.660000	147992.157207
7.670000	148721.066508
7.680000	149445.200869
7.690000	150161.616651
7.700000	150867.279775
7.710000	151559.112517
7.720000	152234.089347
7.730000	152889.289051
7.740000	153521.962490
7.750000	154129.571473
7.760000	154709.821956
7.770000	155260.693086
7.780000	155780.462398
7.790000	156267.727167
7.800000	156721.421820
7.810000	157140.831259
7.820000	157525.599972
7.830000	157875.736841
7.840000	158191.615596
7.850000	158473.970906
7.860000	158723.890155
7.870000	158942.800949
7.880000	159132.454395
7.890000	159294.904072
7.900000	159432.480247
7.910000	159547.758083
7.920000	159643.517322
7.930000	159722.684755
7.940000	159788.230328
7.950000	159843.123651
7.960000	159890.272371
7.970000	159932.512965
7.980000	159972.596926
7.990000	160013.311042
8.000000	160057.437385
8.010000	160107.836160
8.020000	160167.440353
8.030000	160239.227987
8.040000	160326.237725
8.050000	160431.431860
8.060000	160557.666267
8.070000	160707.626325
8.080000	160883.788641
8.090000	161088.392586
8.100000	161323.416543
8.110000	161590.557822
8.120000	161891.215772
8.130000	162226.477908
8.140000	162597.108944
8.150000	163003.542715
8.160000	163445.876980
8.170000	163923.871146
8.180000	164436.946943
8.190000	164984.192130
8.200000	165564.367331
8.210000	166175.916154
8.220000	166816.978926
8.230000	167485.410691
8.240000	168178.805107
8.250000	168894.529128
8.260000	169629.788517
8.270000	170381.653971
8.280000	171147.171971
8.290000	171923.403692
8.300000	172707.445954
8.310000	173496.432678
8.320000	174287.437181
8.330000	175077.518540
8.340000	175863.677191
8.350000	176642.827453
8.360000	177411.752401
8.370000	178167.196549
8.380000	178905.895809
8.390000	179624.680383
8.400000	180320.520193
8.410000	180990.592091
8.420000	181632.318787
8.430000	182243.402069
8.440000	182821.851617
8.450000	183366.009647
8.460000	183874.571357
8.470000	184346.601063
8.480000	184781.543901
8.490000	185179.232974
8.500000	185539.891892
8.510000	185864.132656
8.520000	186152.948918
8.530000	186407.704640
8.540000	186630.118169
8.550000	186822.241652
8.560000	186986.435339
8.570000	187125.335611
8.580000	187241.814817
8.590000	187338.926005
8.600000	187419.802876
8.610000	187487.615732
8.620000	187545.513194
8.630000	187596.607034
8.640000	187643.916592
8.650000	187690.473482
8.660000	187739.344832
8.670000	187793.585932
8.680000	187856.334633
8.690000	187930.769364
8.700000	188020.099446
8.710000	188127.544473
8.720000	188256.203637
8.730000	188409.037807
8.740000	188588.804649
8.750000	188798.021187
8.760000	189038.935471
8.770000	189313.502912
8.780000	189623.366384
8.790000	189969.839743
8.800000	190353.894591
8.810000	190776.150214
8.820000	191236.866697
8.830000	191735.941213
8.840000	192272.907542
8.850000	192846.938869
8.860000	193456.853976
8.870000	194101.126967
8.880000	194777.900854
8.890000	195485.005614
8.900000	196219.982219
8.910000	196980.117253
8.920000	197762.506416
8.930000	198564.079595
8.940000	199381.697069
8.950000	200212.204324
8.960000	201052.463461
8.970000	201899.335273
8.980000	202749.665880
8.990000	203600.263238
9.000000	204447.884779
9.010000	205289.255472
9.020000	206120.996989
9.030000	206939.646102
9.040000	207741.749877
9.050000	208523.889958
9.060000	209282.785644
9.070000	210015.335605
9.080000	210718.682434
9.090000	211390.251587
9.100000	212027.784175
9.110000	212629.365055
9.120000	213193.446422
9.130000	213718.866827
9.140000	214204.865525
9.150000	214651.092044
9.160000	215057.610871
9.170000	215424.901222
9.180000	215753.851878
9.190000	216045.751097
9.200000	216302.271605
9.210000	216525.450546
9.220000	216717.663924
9.230000	216881.594406
9.240000	217020.191120
9.250000	217136.616472
9.260000	217234.148066
9.270000	217316.152267
9.280000	217385.982070
9.290000	217446.984810
9.300000	217502.473997
9.310000	217555.733071
9.320000	217610.071044
9.330000	217668.811338
9.340000	217735.296593
9.350000	217812.903416
9.360000	217905.045196
9.370000	218015.131748
9.380000	218146.531627
9.390000	218302.447077
9.400000	218485.907600
9.410000	218699.704450
9.420000	218946.354400
9.430000	219228.071906
9.440000	219546.745914
9.450000	219903.920575
9.460000	220300.779578
9.470000	220738.133990
9.480000	221216.413536
9.490000	221735.661358
9.500000	222295.532247
9.510000	222895.294438
9.520000	223533.835050
9.530000	224209.669334
9.540000	224920.954038
9.550000	225665.505507
9.560000	226440.823921
9.570000	227244.128425
9.580000	228072.419532
9.590000	228922.501483
9.600000	229791.063643
9.610000	230674.762141
9.620000	231570.228061
9.630000	232474.079748
9.640000	233382.935061
9.650000	234293.346101
9.660000	235201.820187
9.670000	236104.846887
9.680000	236998.857308
9.690000	237880.215998
9.700000	238745.247951
9.710000	239590.341781
9.720000	240411.956895
9.730000	241206.737935
9.740000	241971.555453
9.750000	242703.563014
9.760000	243400.235851
9.770000	244059.402736
9.780000	244679.272825
9.790000	245258.457631
9.800000	245795.988058
9.810000	246291.326414
9.820000	246744.373288
9.830000	247155.469235
9.840000	247525.391241
9.850000	247855.343949
9.860000	248146.945615
9.870000	248402.208636
9.880000	248623.514106
9.890000	248813.579323
9.900000	248975.417544
9.910000	249112.286730
9.920000	249227.594187
9.930000	249324.865952
9.940000	249407.652366
9.950000	249479.520297
9.960000	249544.050275
9.970000	249604.774825
9.980000	249665.261249
9.990000	249729.100924
