Step          Temp          PotEng         KinEng         TotEng         Press     
      1790   1.920387      -1.2910355      2.8661776      1.5751421      0.28189098   
      1800   1.9000351     -1.2747941      2.8358024      1.5610082      0.3058032    
      1810   1.924125      -1.3230868      2.8717565      1.5486697      0.27601546   
      1820   1.8518212     -1.223676       2.7638431      1.540167       0.37485261   
      1830   1.9088559     -1.3155535      2.8489674      1.5334139      0.30265904   
      1840   1.8928636     -1.2951525      2.8250989      1.5299463      0.31663174   
      1850   1.9464591     -1.3759297      2.9050902      1.5291605      0.23848802   
      1860   1.9462081     -1.3747194      2.9047155      1.5299961      0.2579448    
      1870   1.9012584     -1.3049101      2.8376282      1.5327181      0.35084959   
      1880   1.9154893     -1.321471       2.8588678      1.5373968      0.34890553   
      1890   1.9499555     -1.3659641      2.9103086      1.5443445      0.31379151   
      1900   1.9580721     -1.3692694      2.9224227      1.5531533      0.32599721   
      1910   1.9218578     -1.3041876      2.8683727      1.5641851      0.40047529   
      1920   1.9845688     -1.3860563      2.961969       1.5759127      0.33453231   
      1930   2.0031146     -1.4007307      2.9896486      1.5889179      0.31654719   
      1940   1.9907639     -1.3688677      2.9712151      1.6023475      0.33708132   
      1950   2.0302318     -1.4141588      3.030121       1.6159622      0.3014915    
      1960   1.9744837     -1.317582       2.9469169      1.629335       0.40571059   
      1970   1.998049      -1.3398708      2.9820881      1.6422172      0.39287651   
      1980   2.0066236     -1.3392921      2.9948857      1.6555936      0.38208516   
      1990   1.9835364     -1.2911309      2.9604281      1.6692972      0.40295251   
      2000   1.9824069     -1.2752274      2.9587423      1.6835149      0.37723176   
      2010   2.0451502     -1.3546953      3.0523867      1.6976914      0.26079245   
      2020   1.9758836     -1.2375892      2.9490063      1.7114171      0.33523366   
      2030   2.0173726     -1.2858152      3.0109287      1.7251134      0.2598471    
      2040   1.98954       -1.2298259      2.9693885      1.7395626      0.2768364    
      2050   1.9886728     -1.2144752      2.9680941      1.7536189      0.27038951   
      2060   2.0376201     -1.2733555      3.041148       1.7677926      0.23635414   
      2070   1.9712385     -1.1605717      2.9420735      1.7815018      0.37069819   
      2080   2.0460297     -1.2578524      3.0536993      1.7958469      0.28825021   
      2090   2.0841824     -1.3013445      3.1106422      1.8092977      0.26687187   
      2100   2.0269564     -1.2047008      3.0252325      1.8205317      0.40017148   
      2110   2.0332755     -1.2050044      3.0346637      1.8296593      0.43791485   
      2120   2.0487164     -1.2189211      3.0577092      1.8387881      0.42924374   
      2130   2.1428173     -1.351211       3.1981548      1.8469438      0.31448111   
      2140   2.0991328     -1.2814804      3.1329557      1.8514753      0.39527004   
      2150   2.0253651     -1.1704081      3.0228574      1.8524494      0.50745573   
      2160   2.0784953     -1.2516959      3.1021542      1.8504584      0.42723707   
      2170   2.0781031     -1.2551523      3.1015688      1.8464165      0.41715513   
      2180   2.055809      -1.228904       3.0682949      1.8393909      0.45326987   
      2190   2.0975873     -1.3001417      3.130649       1.8305073      0.39333601   
      2200   2.0394504     -1.2238142      3.0438797      1.8200655      0.43892973   
      2210   2.0817499     -1.2991529      3.1070118      1.8078589      0.3267489    
      2220   2.0806604     -1.3128445      3.1053857      1.7925412      0.2780843    
      2230   2.0151981     -1.2315917      3.0076831      1.7760914      0.32204929   
      2240   2.0016924     -1.2288509      2.987526       1.7586751      0.29444904   
      2250   1.9894944     -1.2276418      2.9693203      1.7416786      0.28409971   
      2260   1.9609592     -1.2015931      2.9267316      1.7251385      0.30457091   
      2270   1.9515501     -1.2030042      2.9126886      1.7096844      0.31064102   
      2280   1.9522947     -1.2183077      2.9137998      1.6954921      0.31300339   
      2290   1.963825      -1.2482615      2.9310088      1.6827473      0.29465794   
      2300   1.9399159     -1.223591       2.8953245      1.6717335      0.3267867    
      2310   1.9362095     -1.2274402      2.8897927      1.6623525      0.32847505   
      2320   1.9900943     -1.316203       2.9702158      1.6540128      0.2405405    
      2330   1.9795544     -1.3077411      2.9544849      1.6467438      0.24837291   
      2340   1.991268      -1.3332289      2.9719675      1.6387385      0.26539949   
      2350   1.8977701     -1.1996394      2.8324219      1.6327826      0.43310964   
      2360   1.966365      -1.3066116      2.9347997      1.6281881      0.36445993   
      2370   1.9504762     -1.2857448      2.9110857      1.6253409      0.38851804   
      2380   1.9683656     -1.3147036      2.9377857      1.6230821      0.35263928   
      2390   1.9329867     -1.2625586      2.8849827      1.6224241      0.38629847   
      2400   1.9957577     -1.354453       2.9786683      1.6242153      0.30759426   
      2410   1.954812      -1.2911155      2.917557       1.6264414      0.3734399    
      2420   1.987245      -1.3362424      2.9659632      1.6297208      0.32779034   
      2430   1.9795308     -1.320831       2.9544497      1.6336188      0.31811358   
      2440   1.9989446     -1.345715       2.9834248      1.6377099      0.27814437   
      2450   2.0062402     -1.352046       2.9943135      1.6422676      0.26614221   
      2460   1.9709014     -1.294242       2.9415703      1.6473283      0.32091501   
      2470   2.0212728     -1.3644064      3.0167496      1.6523432      0.26075373   
      2480   1.9739065     -1.2881589      2.9460555      1.6578966      0.33156198   
      2490   1.9951626     -1.3148605      2.9777802      1.6629197      0.316837     
      2500   2.0466257     -1.3863876      3.0545888      1.6682013      0.26162973   
      2510   1.9706984     -1.2683144      2.9412674      1.6729531      0.39668063   
      2520   1.981808      -1.27894        2.9578484      1.6789084      0.41728609   
      2530   2.0126665     -1.3186685      3.0039048      1.6852363      0.41064876   
      2540   1.991615      -1.2810312      2.9724854      1.6914542      0.45467343   
      2550   2.0779192     -1.4024027      3.1012944      1.6988917      0.3319446    
      2560   2.0488631     -1.3541203      3.0579282      1.7038079      0.38167809   
      2570   1.9950498     -1.2693592      2.9776118      1.7082526      0.44651378   
      2580   2.0610735     -1.3634356      3.0761523      1.7127167      0.30288311   
      2590   2.0671607     -1.369703       3.0852373      1.7155343      0.25447497   
      2600   2.0230764     -1.3029496      3.0194415      1.7164919      0.30823645   
      2610   1.9968424     -1.2639876      2.9802873      1.7162997      0.3587751    
      2620   2.0018629     -1.2715912      2.9877803      1.7161891      0.36597059   
      2630   2.0329644     -1.3182408      3.0341994      1.7159586      0.33793751   
      2640   2.0073301     -1.2804717      2.9959401      1.7154684      0.39394527   
      2650   2.046378      -1.3402793      3.0542192      1.7139398      0.36557311   
      2660   2.0054101     -1.2810989      2.9930746      1.7119757      0.42660061   
      2670   2.0160694     -1.2996406      3.0089836      1.709343       0.4090993    
      2680   1.9866467     -1.2586024      2.9650702      1.7064678      0.43311383   
      2690   1.9931101     -1.2704539      2.9747168      1.7042629      0.38803514   
      2700   2.0047374     -1.2906964      2.9920705      1.7013741      0.32240816   
      2710   2.0043055     -1.2926037      2.9914259      1.6988223      0.28100888   
      2720   1.9989633     -1.2872877      2.9834527      1.696165       0.27239491   
      2730   1.9891168     -1.2759861      2.9687568      1.6927707      0.29504315   
      2740   1.989928      -1.279179       2.9699675      1.6907885      0.29653627   
      2750   1.984358      -1.2731922      2.9616543      1.6884621      0.30392649   
      2760   1.9808995     -1.2699515      2.9564925      1.686541       0.31814361   
      2770   2.0141326     -1.3208425      3.0060929      1.6852505      0.29330334   
      2780   1.9909673     -1.2872471      2.9715187      1.6842716      0.34812958   
      2790   1.9590267     -1.2414958      2.9238474      1.6823516      0.41025316   
      2800   2.0016848     -1.3058332      2.9875145      1.6816814      0.37059354   
      2810   2.0067427     -1.3141143      2.9950635      1.6809493      0.36656732   
      2820   1.9963964     -1.3004956      2.9796217      1.679126       0.38676242   
      2830   2.0207857     -1.3375535      3.0160227      1.6784692      0.33011739   
      2840   2.0493324     -1.38094        3.0586286      1.6776886      0.26122036   
      2850   2.0058694     -1.3190033      2.9937601      1.6747568      0.31848931   
      2860   2.0116232     -1.3306561      3.0023477      1.6716915      0.30957354   
      2870   1.9657969     -1.2640355      2.9339519      1.6699164      0.36187777   
      2880   1.9948388     -1.3104995      2.9772968      1.6667973      0.31839445   
      2890   1.9803116     -1.2906541      2.955615       1.6649609      0.31540404   
      2900   1.9937523     -1.3118072      2.9756753      1.663868       0.27744404   
      2910   1.9616        -1.2644215      2.9276879      1.6632665      0.3181779    
      2920   1.9978902     -1.3192103      2.9818511      1.6626408      0.2656691    
      2930   1.9684541     -1.2747835      2.9379178      1.6631342      0.29604389   
      2940   1.9288469     -1.2142815      2.8788039      1.6645225      0.34816402   
      2950   1.949163      -1.2423532      2.9091257      1.6667725      0.32910018   
      2960   1.9433887     -1.2281164      2.9005077      1.6723913      0.32372306   
      2970   1.9874752     -1.2871631      2.9663068      1.6791437      0.26112203   
      2980   1.9650139     -1.2459293      2.9327833      1.6868539      0.31974794   
      2990   1.9224177     -1.1737778      2.8692085      1.6954307      0.41635587   
      3000   1.9902558     -1.2652243      2.9704567      1.7052324      0.34733923   
      3010   1.9915435     -1.2553007      2.9723786      1.7170779      0.35047795   
      3020   2.0310291     -1.3026902      3.031311       1.7286208      0.30282196   
      3030   2.0372026     -1.3009943      3.0405249      1.7395306      0.30135674   
      3040   2.0192459     -1.2642577      3.0137245      1.7494668      0.34323804   
      3050   1.9695763     -1.1804046      2.9395926      1.759188       0.4221807    
      3060   2.0449627     -1.2829244      3.0521069      1.7691825      0.32446999   
      3070   2.0550368     -1.2880966      3.0671424      1.7790458      0.32227641   
      3080   2.0142903     -1.2182454      3.0063282      1.7880828      0.41340979   
      3090   2.0181282     -1.216583       3.0120564      1.7954734      0.43342619   
      3100   2.0102576     -1.1959825      3.0003095      1.804327       0.4263387    
      3110   2.068826      -1.2750175      3.0877228      1.8127053      0.3142453    
      3120   2.0745577     -1.2778093      3.0962774      1.8184681      0.29111764   
      3130   2.0775503     -1.2782587      3.1007438      1.8224852      0.30327057   
      3140   2.0445211     -1.2268825      3.0514477      1.8245652      0.38133267   
      3150   2.0482482     -1.2316035      3.0570105      1.825407       0.38183649   
      3160   2.0757562     -1.273704       3.0980661      1.8243621      0.32716522   
      3170   2.07586       -1.2771208      3.0982211      1.8211003      0.30596557   
      3180   2.079752      -1.2888735      3.1040299      1.8151563      0.27491878   
      3190   2.0735348     -1.2878374      3.0947508      1.8069133      0.27910515   
      3200   2.0241376     -1.2242714      3.0210253      1.796754       0.35227947   
      3210   2.0705805     -1.3043844      3.0903413      1.7859569      0.29817665   
