# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
41 1.3446 2.15842 3.9
42 1.3778 2.13814 4.237
43 1.411 1.60919 4.503
44 1.4442 1.65732 4.79
45 1.4774 1.69956 5.098
46 1.5106 1.50955 5.384
47 1.5438 1.49586 5.68
48 1.577 1.43839 5.977
49 1.6102 1.54692 6.31
50 1.6434 1.37356 6.618
51 1.6766 1.41825 6.949
52 1.7098 1.28955 7.262
53 1.743 1.2409 7.575
54 1.7762 1.37819 7.936
55 1.8094 1.43477 8.326
56 1.8426 1.39772 8.72
57 1.8758 1.44111 9.141
58 1.909 1.51701 9.6
59 1.9422 1.51029 10.073
60 1.9754 1.60194 10.592
61 2.0086 1.69571 11.16
62 2.0418 1.58034 11.707
63 2.075 1.67284 12.305
64 2.1082 1.58534 12.89
65 2.1414 1.70992 13.541
66 2.1746 1.71924 14.216
67 2.2078 1.59132 14.86
68 2.241 1.51334 15.491
69 2.2742 1.64647 16.198
70 2.3074 1.62431 16.916
71 2.3406 1.58076 17.635
72 2.3738 1.51548 18.344
73 2.407 1.42407 19.029
74 2.4402 1.38963 19.716
75 2.4734 1.41164 20.433
76 2.5066 1.39558 21.161
77 2.5398 1.35373 21.886
78 2.573 1.38088 22.645
79 2.6062 1.33173 23.396
80 2.6394 1.30363 24.15
81 2.6726 1.32034 24.933
82 2.7058 1.29801 25.722
83 2.739 1.30366 26.534
84 2.7722 1.24441 27.328
85 2.8054 1.33298 28.199
86 2.8386 1.30497 29.072
87 2.8718 1.28519 29.952
88 2.905 1.25741 30.833
89 2.9382 1.24311 31.724
90 2.9714 1.30143 32.678
91 3.0046 1.25548 33.619
92 3.0378 1.23994 34.569
93 3.071 1.28096 35.572
94 3.1042 1.33621 36.641
95 3.1374 1.32521 37.724
96 3.1706 1.25327 38.77
97 3.2038 1.23564 39.823
98 3.237 1.22422 40.888
99 3.2702 1.18147 41.937
100 3.3034 1.27705 43.094
4000 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0288961 0.002
29 0.9462 0.242137 0.02
30 0.9794 0.966781 0.097
31 1.0126 1.8441 0.254
32 1.0458 2.79704 0.508
33 1.079 3.55861 0.852
34 1.1122 3.30066 1.191
35 1.1454 3.16718 1.536
36 1.1786 3.10399 1.894
37 1.2118 2.85423 2.242
38 1.245 2.62634 2.58
39 1.2782 2.61701 2.935
40 1.3114 2.07999 3.232
41 1.3446 1.9519 3.525
42 1.3778 1.7638 3.803
43 1.411 1.68178 4.081
44 1.4442 1.67465 4.371
45 1.4774 1.54505 4.651
46 1.5106 1.40399 4.917
47 1.5438 1.57672 5.229
48 1.577 1.50619 5.54
49 1.6102 1.39827 5.841
50 1.6434 1.44492 6.165
51 1.6766 1.25543 6.458
52 1.7098 1.53675 6.831
53 1.743 1.31622 7.163
54 1.7762 1.42782 7.537
55 1.8094 1.30233 7.891
56 1.8426 1.41546 8.29
57 1.8758 1.44111 8.711
58 1.909 1.38481 9.13
59 1.9422 1.4145 9.573
60 1.9754 1.48465 10.054
61 2.0086 1.46583 10.545
62 2.0418 1.44455 11.045
63 2.075 1.53577 11.594
64 2.1082 1.60702 12.187
65 2.1414 1.54707 12.776
66 2.1746 1.66065 13.428
67 2.2078 1.56661 14.062
68 2.241 1.49895 14.687
69 2.2742 1.47181 15.319
70 2.3074 1.59943 16.026
71 2.3406 1.43346 16.678
72 2.3738 1.39578 17.331
73 2.407 1.4407 18.024
74 2.4402 1.31276 18.673
75 2.4734 1.35848 19.363
76 2.5066 1.30931 20.046
77 2.5398 1.30705 20.746
78 2.573 1.39543 21.513
79 2.6062 1.30868 22.251
80 2.6394 1.30536 23.006
81 2.6726 1.27987 23.765
82 2.7058 1.24372 24.521
83 2.739 1.26674 25.31
84 2.7722 1.29457 26.136
85 2.8054 1.284 26.975
86 2.8386 1.2392 27.804
87 2.8718 1.25891 28.666
88 2.905 1.29595 29.574
89 2.9382 1.26543 30.481
90 2.9714 1.24959 31.397
91 3.0046 1.30885 32.378
92 3.0378 1.23211 33.322
93 3.071 1.3065 34.345
94 3.1042 1.27621 35.366
95 3.1374 1.27748 36.41
96 3.1706 1.27244 37.472
97 3.2038 1.28258 38.565
98 3.237 1.22192 39.628
99 3.2702 1.24229 40.731
100 3.3034 1.15894 41.781
4500 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0577922 0.004
29 0.9462 0.215233 0.02
30 0.9794 0.765891 0.081
31 1.0126 2.20822 0.269
32 1.0458 2.76401 0.52
33 1.079 3.29999 0.839
34 1.1122 3.61223 1.21
35 1.1454 3.42423 1.583
36 1.1786 3.13867 1.945
37 1.2118 3.09208 2.322
38 1.245 2.50979 2.645
39 1.2782 2.31476 2.959
40 1.3114 2.00996 3.246
41 1.3446 2.12511 3.565
42 1.3778 1.78918 3.847
43 1.411 1.99031 4.176
44 1.4442 1.72084 4.474
45 1.4774 1.64989 4.773
46 1.5106 1.54122 5.065
47 1.5438 1.51102 5.364
48 1.577 1.51588 5.677
49 1.6102 1.52369 6.005
50 1.6434 1.44492 6.329
51 1.6766 1.35827 6.646
52 1.7098 1.31015 6.964
53 1.743 1.4867 7.339
54 1.7762 1.39728 7.705
55 1.8094 1.40166 8.086
56 1.8426 1.37999 8.475
57 1.8758 1.35896 8.872
58 1.909 1.40464 9.297
59 1.9422 1.51987 9.773
60 1.9754 1.52786 10.268
61 2.0086 1.57928 10.797
62 2.0418 1.57456 11.342
63 2.075 1.61689 11.92
64 2.1082 1.5745 12.501
65 2.1414 1.50504 13.074
66 2.1746 1.74725 13.76
67 2.2078 1.53449 14.381
68 2.241 1.55651 15.03
69 2.2742 1.4951 15.672
70 2.3074 1.44107 16.309
71 2.3406 1.47743 16.981
72 2.3738 1.51548 17.69
73 2.407 1.45733 18.391
74 2.4402 1.36535 19.066
75 2.4734 1.39589 19.775
76 2.5066 1.38408 20.497
77 2.5398 1.34066 21.215
78 2.573 1.36814 21.967
79 2.6062 1.38493 22.748
80 2.6394 1.2777 23.487
81 2.6726 1.37599 24.303
82 2.7058 1.31775 25.104
83 2.739 1.3422 25.94
84 2.7722 1.25382 26.74
85 2.8054 1.25646 27.561
86 2.8386 1.37672 28.482
87 2.8718 1.28373 29.361
88 2.905 1.32164 30.287
89 2.9382 1.3031 31.221
90 2.9714 1.26732 32.15
91 3.0046 1.31686 33.137
92 3.0378 1.21644 34.069
93 3.071 1.39718 35.163
94 3.1042 1.25871 36.17
95 3.1374 1.21385 37.162
96 3.1706 1.20894 38.171
97 3.2038 1.22156 39.212
98 3.237 1.22767 40.28
99 3.2702 1.22201 41.365
100 3.3034 1.27594 42.521
5000 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0144481 0.001
29 0.9462 0.215233 0.017
30 0.9794 1.09234 0.104
31 1.0126 2.30219 0.3
32 1.0458 3.1274 0.584
33 1.079 3.73447 0.945
34 1.1122 3.53433 1.308
35 1.1454 3.73636 1.715
36 1.1786 3.29474 2.095
37 1.2118 3.1823 2.483
38 1.245 2.63411 2.822
39 1.2782 2.44746 3.154
40 1.3114 2.05198 3.447
41 1.3446 2.06515 3.757
42 1.3778 1.84628 4.048
43 1.411 1.63339 4.318
44 1.4442 1.82479 4.634
45 1.4774 1.7437 4.95
46 1.5106 1.47261 5.229
47 1.5438 1.55145 5.536
48 1.577 1.43354 5.832
49 1.6102 1.3704 6.127
50 1.6434 1.33789 6.427
51 1.6766 1.39683 6.753
52 1.7098 1.40903 7.095
53 1.743 1.34397 7.434
54 1.7762 1.37819 7.795
55 1.8094 1.37223 8.168
56 1.8426 1.42256 8.569
57 1.8758 1.36238 8.967
58 1.909 1.47405 9.413
59 1.9422 1.53584 9.894
60 1.9754 1.56181 10.4
61 2.0086 1.51658 10.908
62 2.0418 1.56589 11.45
63 2.075 1.70361 12.059
64 2.1082 1.50133 12.613
65 2.1414 1.65213 13.242
66 2.1746 1.67084 13.898
67 2.2078 1.50978 14.509
68 2.241 1.5757 15.166
69 2.2742 1.47414 15.799
70 2.3074 1.53382 16.477
71 2.3406 1.42466 17.125
72 2.3738 1.34448 17.754
73 2.407 1.41991 18.437
74 2.4402 1.42401 19.141
75 2.4734 1.3821 19.843
76 2.5066 1.3304 20.537
77 2.5398 1.41908 21.297
78 2.573 1.32812 22.027
79 2.6062 1.2413 22.727
80 2.6394 1.39353 23.533
81 2.6726 1.28493 24.295
82 2.7058 1.34079 25.11
83 2.739 1.24908 25.888
84 2.7722 1.2836 26.707
85 2.8054 1.36358 27.598
86 2.8386 1.34832 28.5
87 2.8718 1.30272 29.392
88 2.905 1.27597 30.286
89 2.9382 1.29055 31.211
90 2.9714 1.2264 32.11
91 3.0046 1.24881 33.046
92 3.0378 1.25429 34.007
93 3.071 1.32566 35.045
94 3.1042 1.26121 36.054
95 3.1374 1.25668 37.081
96 3.1706 1.28682 38.155
97 3.2038 1.23212 39.205
98 3.237 1.22652 40.272
99 3.2702 1.20512 41.342
100 3.3034 1.1468 42.381
5500 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0.0144481 0.001
29 0.9462 0.228685 0.018
30 0.9794 0.941669 0.093
31 1.0126 2.05552 0.268
32 1.0458 2.83008 0.525
33 1.079 3.5793 0.871
34 1.1122 3.6317 1.244
35 1.1454 3.65374 1.642
36 1.1786 3.11266 2.001
37 1.2118 2.91985 2.357
38 1.245 2.67296 2.701
39 1.2782 2.4106 3.028
40 1.3114 2.13602 3.333
41 1.3446 2.09846 3.648
42 1.3778 1.89704 3.947
43 1.411 1.74833 4.236
44 1.4442 1.58225 4.51
45 1.4774 1.57264 4.795
46 1.5106 1.53067 5.085
47 1.5438 1.38974 5.36
48 1.577 1.53525 5.677
49 1.6102 1.33788 5.965
50 1.6434 1.28437 6.253
51 1.6766 1.52966 6.61
52 1.7098 1.20715 6.903
53 1.743 1.39155 7.254
54 1.7762 1.35147 7.608
55 1.8094 1.53042 8.024
